SAMD2xE,SAMD2xG,SAMD2xJ,I/O Pin,Supply,A,B1,B2,B3,B4,B5,C,D,E,F,G,H
,37,49,PB22,VDDIO,EXTINT[6],,,,,,,SERCOM5/PAD[2],TC7/WO[0],TCC3/WO[0],,GCLK_IO[0]
,38,50,PB23,VDDIO,EXTINT[7],,,,,,,SERCOM5/PAD[3],TC7/WO[1],TCC3/WO[1],,GCLK_IO[1]
25,39,51,PA27,VDDIO,EXTINT[15],,,,,,,,,TCC3/WO[6],,GCLK_IO[0]
27,41,53,PA28,VDDIO,EXTINT[8],,,,,,,,,TCC3/WO[7],,GCLK_IO[0]
31,45,57,PA30,VDDIO,EXTINT[10],,,,,,,SERCOM1/PAD[2],TCC1/WO[0],TCC3/WO[4],SWCLK,GCLK_IO[0]
32,46,58,PA31,VDDIO,EXTINT[11],,,,,,,SERCOM1/PAD[3],TCC1/WO[1],TCC3/WO[5],SWDIO,
,,59,PB30,VDDIO,EXTINT[14],,,,,,,SERCOM5/PAD[0],TCC0/WO[0],TCC1/WO[2],,
,,60,PB31,VDDIO,EXTINT[15],,,,,,,SERCOM5/PAD[1],TCC0/WO[1],TCC1/WO[3],,
,,61,PB00,VDDANA,EXTINT[0],,AIN[8],,Y[6],,,SERCOM5/PAD[2],TC7/WO[0],,,
,,62,PB01,VDDANA,EXTINT[1],,AIN[9],,Y[7],,,SERCOM5/PAD[3],TC7/WO[1],,,
,47,63,PB02,VDDANA,EXTINT[2],,AIN[10],,Y[8],,,SERCOM5/PAD[0],TC6/WO[0],TCC3/WO[2],,
,48,64,PB03,VDDANA,EXTINT[3],,AIN[11],,Y[9],,,SERCOM5/PAD[1],TC6/WO[1],TCC3/WO[3],,
